,Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
79,Bad Memories (feat. Elley Duhé & FAST BOY),"MEDUZA, James Carter, Elley Duhé, FAST BOY",Bad Memories (feat. Elley Duhé & FAST BOY),44aG7QLYLGotCTlu5Fc2J7,3rb0tMq42WfggucPm0HHkA,73,2022-07-22,148629,False,https://open.spotify.com/track/3rb0tMq42WfggucPm0HHkA,0.607,0.767,5,-6.069,0,0.0474,0.118,0.0,0.122,0.662,123.998
80,The Motto,"Tiësto, Ava Max",The Motto,278z9UXJaMNDH9Bel9uAxV,18asYwWugKjjsihZ0YvRxO,74,2021-11-04,164819,False,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO,0.754,0.763,7,-4.627,0,0.0435,0.0301,2.23e-05,0.0901,0.464,117.953
81,Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),2Q5DPv9uliinOBSdNooIe3,0hquQWY3xvYqN4qtiquniF,73,2022-05-06,182907,True,https://open.spotify.com/track/0hquQWY3xvYqN4qtiquniF,0.801,0.601,8,-7.574,0,0.255,0.0777,3.23e-05,0.145,0.74,159.969
82,REACT,"Switch Disco, Ella Henderson, Robert Miles",REACT,3opvHAj80TIQMZAg9a2FNv,1UPHCP5YeVfele4DMbdGyi,73,2023-01-13,201146,False,https://open.spotify.com/track/1UPHCP5YeVfele4DMbdGyi,0.737,0.899,6,-3.189,0,0.0556,0.0329,0.0,0.186,0.358,125.992
83,Just Wanna Rock,Lil Uzi Vert,Just Wanna Rock,2FD6g8bXEn2uQMYbeqqoCg,4FyesJzVpA39hbYvcseO2d,73,2022-10-17,123891,True,https://open.spotify.com/track/4FyesJzVpA39hbYvcseO2d,0.486,0.545,11,-7.924,1,0.0336,0.0652,0.00474,0.0642,0.0385,150.187
84,Element,Pop Smoke,Meet The Woo 2,4MZnolldq7ciKKlbVDzLm5,57BGVV6wcyhbn3hsjlqEZB,73,2020-02-07,135747,True,https://open.spotify.com/track/57BGVV6wcyhbn3hsjlqEZB,0.772,0.879,2,-4.22,1,0.323,0.0307,1.88e-06,0.25,0.304,61.311
85,SAY MY GRACE (feat. Travis Scott),"Offset, Travis Scott",SET IT OFF,1D1hLipjrdB6pnxurMtC3E,2Gk6fi0dqt91NKvlzGsmm7,72,2023-10-13,173253,True,https://open.spotify.com/track/2Gk6fi0dqt91NKvlzGsmm7,0.772,0.631,10,-5.082,1,0.0431,0.0648,0.0,0.129,0.433,121.854
86,it boy,bbno$,it boy,6tl4X5mM1eOnkWr7oB5LAM,2UerDbZznc07mmGMD3WfHH,73,2024-05-24,145846,True,https://open.spotify.com/track/2UerDbZznc07mmGMD3WfHH,0.763,0.885,9,-6.388,1,0.0552,0.00179,0.000601,0.278,0.821,129.983
87,Drugs From Amsterdam,Mau P,Drugs From Amsterdam,060SvgMzLKrNzpvVLK5gSo,0w7JPlp7eEQI2EKW3ayXrv,72,2022-09-16,235786,False,https://open.spotify.com/track/0w7JPlp7eEQI2EKW3ayXrv,0.686,0.928,8,-10.38,1,0.0527,0.0316,0.727,0.0576,0.631,124.986
88,Remember,"Becky Hill, David Guetta",Remember,6DHfD3rZapWFmEKX1FNNZF,4laAKIq9ZxBCwf99rauPYb,72,2021-06-18,160766,False,https://open.spotify.com/track/4laAKIq9ZxBCwf99rauPYb,0.612,0.862,8,-2.903,1,0.037,0.041,0.0,0.0907,0.354,123.849
89,leavemealone,"Fred again.., Baby Keem",leavemealone,3Tsut3cVOWP7AKAR4Dtmhb,1MVqeIAwhD4T44AKVkIfic,71,2023-12-08,222784,True,https://open.spotify.com/track/1MVqeIAwhD4T44AKVkIfic,0.68,0.881,0,-4.503,1,0.0553,0.00499,0.0253,0.574,0.105,174.062
90,Another Love - Tiësto Remix,"Tom Odell, Tiësto",Another Love - Tiësto Remix,1QltVGlNGbK94CKgUsYZGa,4Et6tUEO7biKxZEfJXpNj1,71,2022-05-13,185366,False,https://open.spotify.com/track/4Et6tUEO7biKxZEfJXpNj1,0.79,0.764,4,-4.685,0,0.0737,0.0836,0.0871,0.132,0.473,123.046
91,Astronaut In The Ocean,Masked Wolf,Astronaut In The Ocean,7vus4Q8r5DS2Dl1JClxEsA,3Ofmpyhv5UAQ70mENzB277,71,2021-01-06,132780,True,https://open.spotify.com/track/3Ofmpyhv5UAQ70mENzB277,0.778,0.695,4,-6.865,0,0.0913,0.175,0.0,0.15,0.472,149.996
92,Tarantella,"Gabry Ponte, KEL",Tarantella,0nxNoLQWFwsRqTfLh7R0sq,4pBuhoBxgwBpkkOhfT6p6N,71,2024-03-29,145554,False,https://open.spotify.com/track/4pBuhoBxgwBpkkOhfT6p6N,0.701,0.861,9,-5.509,1,0.0781,0.139,2.58e-05,0.332,0.426,140.072
93,MONEY ON THE DASH,"Elley Duhé, Whethan",MONEY ON THE DASH,1nlaLDMPSzXL8G5LPBDhwd,1p0jBDjxORjYNJyAphBRpE,70,2023-01-20,145667,False,https://open.spotify.com/track/1p0jBDjxORjYNJyAphBRpE,0.84,0.667,8,-7.126,1,0.0843,0.0439,1.34e-05,0.179,0.292,120.044
94,BABY HELLO,"Rauw Alejandro, Bizarrap",BABY HELLO,5KDgQ8sKzlThX02A5urLj0,2SOvWt6igzXViIjIiWNWEP,70,2023-06-23,222462,True,https://open.spotify.com/track/2SOvWt6igzXViIjIiWNWEP,0.773,0.892,1,-3.732,0,0.0483,0.166,3.1e-06,0.429,0.842,130.007
95,Everybody (feat. Lil Uzi Vert),"Nicki Minaj, Lil Uzi Vert",Pink Friday 2,2bYCNZfxZrTUv1CHXkz2d2,5ZJGv7aGdIr9IGpxzSG18T,70,2023-12-08,180870,True,https://open.spotify.com/track/5ZJGv7aGdIr9IGpxzSG18T,0.737,0.774,11,-5.525,0,0.257,0.0262,0.0,0.238,0.428,137.959
96,Players,Coi Leray,Players,4cAAsw7mPkGt15GXQzWlrM,6UN73IYd0hZxLi8wFPMQij,70,2022-11-30,139560,True,https://open.spotify.com/track/6UN73IYd0hZxLi8wFPMQij,0.948,0.512,6,-5.74,0,0.146,0.0269,8.57e-06,0.0504,0.599,105.004
97,Where You Are,"John Summit, HAYLA",Where You Are,4bIEy1wDeaEklS1BanbsmR,4qDpLaFGf5ampf2DXD2TMA,70,2023-03-03,236000,False,https://open.spotify.com/track/4qDpLaFGf5ampf2DXD2TMA,0.567,0.83,9,-6.402,0,0.0349,0.00879,0.0105,0.529,0.0726,126.04
98,Area Codes,Kaliii,Area Codes,6uk3hBYbrMsSzufADPjv9K,7sliFe6W30tPBPh6dvZsIH,70,2023-03-17,139326,True,https://open.spotify.com/track/7sliFe6W30tPBPh6dvZsIH,0.823,0.388,1,-10.867,1,0.491,0.0187,0.0,0.0876,0.507,154.569
99,BOTH,"Tiësto, 21 Savage, BIA",BOTH,4WithBxkUVDf6Xe0KbTOkL,7mobUfp1aL8A6CdugCMWft,70,2023-08-29,188000,False,https://open.spotify.com/track/7mobUfp1aL8A6CdugCMWft,0.69,0.933,5,-3.099,0,0.0832,0.0252,2.51e-05,0.493,0.523,119.987
