,Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
84,Close Eyes,DVRST,Close Eyes,3G0b8ob9anYQl8a1t3GpOF,3CLSHJv5aUROAN2vfOyCOh,74,2021-05-25,132346,True,https://open.spotify.com/track/3CLSHJv5aUROAN2vfOyCOh,0.784,0.572,0,-9.853,1,0.0573,0.0748,0.843,0.139,0.209,96.181
85,Peaky Blinder,"Otnicka, Duke Luke",Peaky Blinder,0C8GFw3mutz9ptXX3SXghm,2ccERNgupCOr0XjIikHDKJ,59,2021-11-12,159130,False,https://open.spotify.com/track/2ccERNgupCOr0XjIikHDKJ,0.624,0.734,5,-7.338,0,0.176,0.33,0.0549,0.326,0.563,184.051
86,Perfect,Ed Sheeran,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,0tgVpDi06FyKpA1z0VMD4v,86,2017-03-03,263400,False,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05
87,Courtesy Call,Thousand Foot Krutch,The End Is Where We Begin,6YJYFQ1Zz9I49YQknK4wIn,0AOmbw8AwDnwXhHC3OhdVB,73,2012-04-17,236898,False,https://open.spotify.com/track/0AOmbw8AwDnwXhHC3OhdVB,0.531,0.638,11,-5.145,0,0.0809,0.00409,0.0,0.0822,0.445,164.079
88,Ad Kolima,"Demeter, ISHNLV",Ad Kolima,0YOX4AhhISOQxsnt8YacX1,228KhdItMua78vrhM342UT,46,2020-08-21,186115,True,https://open.spotify.com/track/228KhdItMua78vrhM342UT,0.812,0.743,4,-6.347,1,0.237,0.247,0.00744,0.186,0.63,168.104
89,Copines,SlowTune,Copines,0Lb3I8wVDiOThv6iVMTgK2,0l4iG7Vx88u4X5aRG2Ruih,0,2022-03-18,215399,False,https://open.spotify.com/track/0l4iG7Vx88u4X5aRG2Ruih,0.822,0.659,4,-4.373,0,0.0723,0.218,2.06e-06,0.123,0.658,145.817
90,On & On,"Cartoon, Jéja, Daniel Levi",On & On,6Unm4KKxYtjR08J1wEOnkc,2uZWffKoemZDI0gHcBEcDc,73,2015-07-09,207069,False,https://open.spotify.com/track/2uZWffKoemZDI0gHcBEcDc,0.457,0.694,11,-4.741,1,0.039,0.296,0.0,0.123,0.425,174.119
91,Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),0gX9tkL5njRax8ymWcXARi,3nqQXoyQOWXiESFLlDF1hG,78,2022-09-22,156943,False,https://open.spotify.com/track/3nqQXoyQOWXiESFLlDF1hG,0.719,0.454,2,-7.384,1,0.0707,0.0138,4.83e-06,0.318,0.224,131.007
92,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake, Selena Gomez, Ozuna, Cardi B","Taki Taki (with Selena Gomez, Ozuna & Cardi B)",0ZHyvPke0EcVt6rYA8Ins3,4w8niZpiMy6qz1mntFA5uM,72,2018-09-28,212500,True,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,0.842,0.801,8,-4.167,0,0.228,0.157,4.82e-06,0.0642,0.617,95.881
93,Sugar & Brownies,DHARIA,Sugar & Brownies,4S18dTcAuVNQneDd7J3zw1,16ih0TTm4REIQuYBMPTHm8,2,2019-04-05,197837,False,https://open.spotify.com/track/16ih0TTm4REIQuYBMPTHm8,0.792,0.719,1,-5.123,0,0.257,0.168,0.0,0.0276,0.472,100.02
94,The Nights,Avicii,The Days / Nights,0h2knr6qpiAq0tV5ri5JMF,0ct6r3EGTcMLPtrXHDvVjc,84,2014-01-01,176658,False,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc,0.527,0.835,6,-5.298,1,0.0433,0.0166,0.0,0.249,0.654,125.983
95,Whoopty,CJ,Whoopty,5oBYG6dEI2Er6EeLnmonGE,5vGLcdRuSbUhD8ScwsGSdA,65,2020-08-20,123263,True,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA,0.719,0.648,3,-7.6,0,0.125,0.2,0.0,0.127,0.66,140.201
96,Skechers,DripReport,Skechers,4a50hfH6HJQywmghPYnRRW,2alc8VZAzDgdAsL2QMk3hu,65,2020-01-12,106000,True,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu,0.903,0.327,1,-9.727,1,0.0877,0.26,0.011,0.108,0.274,100.008
97,Love Is Gone,"SLANDER, Dylan Matthew",Love Is Gone,1YB42DQZ7h7VX95BRiu1Hi,39glqzRVRAy4vq3PqeTGb8,62,2019-05-10,256043,False,https://open.spotify.com/track/39glqzRVRAy4vq3PqeTGb8,0.452,0.465,4,-10.006,0,0.0344,0.0589,0.000524,0.095,0.0832,149.586
98,La Casa De Papel (Money Heist) - My Life Is Going On - Main Theme,Geek Music,La Casa De Papel (Money Heist) - My Life Is Going On - Main Theme,7Iev4In406GSj3zNCdbvw3,5OKyxyYQ8hSLunKlrFGl4M,36,2019-03-06,212550,False,https://open.spotify.com/track/5OKyxyYQ8hSLunKlrFGl4M,0.64,0.35,6,-15.378,0,0.028,0.651,0.00019,0.111,0.351,99.888
99,At My Worst,Pink Sweat$,PINK PLANET,74UvOvL6L4tZbYFtY759ZG,2MJz8BxxMsERULatmBikDH,1,2021-02-12,170345,False,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH,0.813,0.415,0,-5.926,1,0.0349,0.777,0.0,0.131,0.667,91.921
